iter	Passed	Remaining
0	21	6547
1	38	5778
2	49	4936
3	62	4598
4	73	4345
5	84	4133
6	95	4006
7	106	3894
8	117	3812
9	129	3753
10	141	3710
11	174	4180
12	185	4086
13	196	4014
14	207	3940
15	218	3873
16	229	3821
17	240	3773
18	251	3721
19	263	3685
20	273	3639
21	285	3601
22	296	3568
23	306	3529
24	317	3494
25	328	3456
26	338	3425
27	350	3400
28	360	3366
29	373	3360
30	383	3330
31	394	3306
32	406	3286
33	417	3268
34	428	3247
35	440	3229
36	451	3206
37	467	3220
38	477	3198
39	489	3179
40	500	3159
41	511	3140
42	522	3123
43	534	3108
44	545	3091
45	556	3070
46	567	3056
47	578	3035
48	588	3015
49	599	2998
50	610	2980
51	621	2962
52	631	2941
53	641	2921
54	653	2908
55	667	2908
56	678	2890
57	688	2871
58	699	2855
59	709	2839
60	720	2824
61	731	2809
62	742	2793
63	753	2776
64	765	2766
65	777	2754
66	787	2737
67	798	2723
68	810	2712
69	820	2695
70	831	2681
71	843	2670
72	853	2655
73	866	2647
74	877	2632
75	888	2619
76	899	2605
77	910	2590
78	922	2579
79	932	2564
80	942	2549
81	953	2535
82	967	2528
83	977	2512
84	988	2499
85	999	2488
86	1011	2476
87	1023	2464
88	1034	2453
89	1046	2441
90	1056	2427
91	1068	2415
92	1080	2404
93	1091	2393
94	1102	2378
95	1113	2366
96	1124	2352
97	1134	2339
98	1146	2327
99	1158	2316
100	1169	2305
101	1180	2292
102	1192	2281
103	1204	2269
104	1214	2255
105	1226	2244
106	1237	2232
107	1249	2221
108	1262	2212
109	1272	2198
110	1284	2187
111	1295	2174
112	1305	2161
113	1317	2149
114	1329	2138
115	1340	2125
116	1350	2111
117	1363	2103
118	1374	2090
119	1385	2078
120	1397	2067
121	1409	2056
122	1420	2043
123	1431	2032
124	1443	2020
125	1456	2011
126	1467	1998
127	1477	1985
128	1488	1972
129	1498	1959
130	1509	1947
131	1520	1935
132	1531	1922
133	1542	1910
134	1552	1898
135	1564	1886
136	1574	1873
137	1586	1862
138	1598	1851
139	1610	1840
140	1621	1828
141	1632	1816
142	1644	1805
143	1659	1798
144	1671	1787
145	1683	1775
146	1693	1762
147	1705	1751
148	1715	1738
149	1726	1726
150	1738	1715
151	1750	1703
152	1762	1693
153	1773	1681
154	1784	1669
155	1796	1658
156	1807	1646
157	1819	1634
158	1829	1622
159	1840	1610
160	1851	1598
161	1863	1587
162	1875	1576
163	1887	1564
164	1898	1552
165	1909	1541
166	1921	1530
167	1931	1517
168	1943	1506
169	1958	1497
170	1968	1485
171	1980	1474
172	1992	1462
173	2002	1450
174	2012	1437
175	2024	1426
176	2035	1414
177	2047	1403
178	2056	1390
179	2067	1378
180	2079	1367
181	2090	1355
182	2101	1343
183	2112	1331
184	2123	1320
185	2135	1308
186	2156	1303
187	2167	1291
188	2179	1279
189	2190	1268
190	2202	1256
191	2213	1245
192	2225	1233
193	2235	1221
194	2262	1218
195	2273	1206
196	2284	1194
197	2294	1182
198	2306	1170
199	2316	1158
200	2327	1146
201	2338	1134
202	2350	1123
203	2362	1111
204	2374	1100
205	2384	1088
206	2395	1076
207	2406	1064
208	2417	1052
209	2427	1040
210	2438	1028
211	2451	1017
212	2463	1006
213	2475	994
214	2487	983
215	2497	971
216	2508	959
217	2520	947
218	2531	936
219	2541	924
220	2558	914
221	2570	903
222	2581	891
223	2592	879
224	2603	867
225	2614	855
226	2625	844
227	2636	832
228	2647	820
229	2658	808
230	2669	797
231	2680	785
232	2692	774
233	2703	762
234	2714	750
235	2726	739
236	2737	727
237	2751	716
238	2762	705
239	2772	693
240	2784	681
241	2795	670
242	2807	658
243	2819	646
244	2830	635
245	2840	623
246	2854	612
247	2865	600
248	2877	589
249	2888	577
250	2898	565
251	2909	554
252	2921	542
253	2933	531
254	2945	519
255	2957	508
256	2968	496
257	2979	485
258	2989	473
259	2998	461
260	3010	449
261	3021	438
262	3032	426
263	3047	415
264	3057	403
265	3068	392
266	3080	380
267	3091	369
268	3102	357
269	3113	345
270	3123	334
271	3136	322
272	3148	311
273	3158	299
274	3168	288
275	3180	276
276	3192	265
277	3203	253
278	3214	241
279	3225	230
280	3237	218
281	3253	207
282	3264	196
283	3276	184
284	3287	173
285	3298	161
286	3309	149
287	3320	138
288	3331	126
289	3341	115
290	3353	103
291	3365	92
292	3376	80
293	3387	69
294	3399	57
295	3410	46
296	3421	34
297	3432	23
298	3444	11
299	3455	0
